2025-08-07 03:22:52 | State: DROWSY | EAR: 0.0989573 | MAR: 0.356961 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:52 | State: DROWSY | EAR: 0.0978812 | MAR: 0.368916 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:52 | State: DROWSY | EAR: 0.0978542 | MAR: 0.363298 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:53 | State: DROWSY | EAR: 0.102739 | MAR: 0.359869 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:53 | State: DROWSY | EAR: 0.0792266 | MAR: 0.373395 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:53 | State: DROWSY | EAR: 0.112735 | MAR: 0.365175 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:53 | State: DROWSY | EAR: 0.08587 | MAR: 0.371182 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:53 | State: DROWSY | EAR: 0.0917093 | MAR: 0.364925 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:54 | State: DROWSY | EAR: 0.0834247 | MAR: 0.362348 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:54 | State: DROWSY | EAR: 0.0846463 | MAR: 0.365241 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:54 | State: DROWSY | EAR: 0.090685 | MAR: 0.34926 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:54 | State: DROWSY | EAR: 0.110598 | MAR: 0.357169 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:55 | State: DROWSY | EAR: 0.103144 | MAR: 0.368544 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:55 | State: DROWSY | EAR: 0.092991 | MAR: 0.362098 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:55 | State: DROWSY | EAR: 0.0942567 | MAR: 0.357501 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:55 | State: DROWSY | EAR: 0.0921556 | MAR: 0.360719 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:55 | State: DROWSY | EAR: 0.101436 | MAR: 0.370852 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:56 | State: DROWSY | EAR: 0.0984228 | MAR: 0.392935 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:56 | State: DROWSY | EAR: 0.0964519 | MAR: 0.373347 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:56 | State: DROWSY | EAR: 0.0890842 | MAR: 0.383365 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:56 | State: DROWSY | EAR: 0.0704487 | MAR: 0.378113 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:56 | State: DROWSY | EAR: 0.0830919 | MAR: 0.372221 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:57 | State: DROWSY | EAR: 0.0759908 | MAR: 0.383511 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:57 | State: DROWSY | EAR: 0.0653404 | MAR: 0.358227 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:57 | State: DROWSY | EAR: 0.0794196 | MAR: 0.365258 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:57 | State: DROWSY | EAR: 0.0735713 | MAR: 0.364939 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:57 | State: DROWSY | EAR: 0.0880961 | MAR: 0.376178 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:58 | State: DROWSY | EAR: 0.0923453 | MAR: 0.374827 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:58 | State: DROWSY | EAR: 0.0912982 | MAR: 0.37377 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
